,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
96,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
97,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
101,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
103,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
105,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
106,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
107,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
109,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
110,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
112,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
115,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
120,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
123,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
126,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
127,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
128,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
129,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
131,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
132,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
135,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
136,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
140,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
141,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
142,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
150,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
153,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
154,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
